LLM,Alignment,Precision,Recall,F1
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-pt/component/llm_with_agent,83.33,11.36,20.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/source_no_validation,63.92,70.45,67.03
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/source,71.74,37.50,49.25
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/target_no_validation,74.12,71.59,72.83
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/target,70.97,25.00,36.97
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/no_validation,88.89,63.64,74.17
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-cz-ru/component/llm_with_agent,81.82,20.45,32.73
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/source_no_validation,48.48,18.39,26.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/source,81.25,14.94,25.24
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/target_no_validation,58.62,19.54,29.31
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/target,73.33,12.64,21.57
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/no_validation,72.22,14.94,24.76
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ar/component/llm_with_agent,88.89,9.20,16.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/source_no_validation,80.26,69.32,74.39
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/source,76.79,48.86,59.72
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/target_no_validation,69.05,65.91,67.44
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/target,76.67,52.27,62.16
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/no_validation,93.22,62.50,74.83
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-en/component/llm_with_agent,92.68,43.18,58.91
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/source_no_validation,77.33,65.91,71.17
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/source,77.59,51.14,61.64
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/target_no_validation,70.83,57.95,63.75
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/target,73.33,37.50,49.62
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/no_validation,90.57,54.55,68.09
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-es/component/llm_with_agent,85.29,32.95,47.54
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/source_no_validation,69.74,60.23,64.63
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/source,78.00,44.32,56.52
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/target_no_validation,72.22,59.09,65.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/target,78.72,42.05,54.81
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/no_validation,90.20,52.27,66.19
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-fr/component/llm_with_agent,93.33,31.82,47.46
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/source_no_validation,63.86,60.23,61.99
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/source,72.34,38.64,50.37
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/target_no_validation,69.74,60.23,64.63
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/target,73.91,38.64,50.75
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/no_validation,87.27,54.55,67.13
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-nl/component/llm_with_agent,90.00,30.68,45.76
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/source_no_validation,61.84,53.41,57.32
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/source,74.51,43.18,54.68
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/target_no_validation,60.81,51.14,55.56
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/target,66.67,38.64,48.92
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/no_validation,75.00,44.32,55.71
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-pt/component/llm_with_agent,90.00,30.68,45.76
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/source_no_validation,67.14,53.41,59.49
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/source,78.43,45.45,57.55
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/target_no_validation,61.64,51.14,55.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/target,77.78,39.77,52.63
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/no_validation,76.47,44.32,56.12
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-de-ru/component/llm_with_agent,87.50,31.82,46.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/source_no_validation,62.50,45.98,52.98
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/source,73.08,43.68,54.68
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/target_no_validation,77.78,48.28,59.57
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/target,79.07,39.08,52.31
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/no_validation,88.10,42.53,57.36
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ar/component/llm_with_agent,85.71,34.48,49.18
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/source_no_validation,73.86,73.86,73.86
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/source,72.86,57.95,64.56
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/target_no_validation,83.95,77.27,80.47
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/target,79.25,47.73,59.57
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/no_validation,92.31,68.18,78.43
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-es/component/llm_with_agent,87.50,39.77,54.69
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/source_no_validation,77.01,76.14,76.57
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/source,80.00,50.00,61.54
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/target_no_validation,80.49,75.00,77.65
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/target,81.13,48.86,60.99
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/no_validation,92.42,69.32,79.22
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-fr/component/llm_with_agent,100.00,39.77,56.91
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/source_no_validation,75.00,68.18,71.43
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/source,79.03,55.68,65.33
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/target_no_validation,81.58,70.45,75.61
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/target,87.50,55.68,68.06
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/no_validation,91.67,62.50,74.32
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-nl/component/llm_with_agent,95.65,50.00,65.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/source_no_validation,72.09,70.45,71.26
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/source,76.27,51.14,61.22
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/target_no_validation,78.48,70.45,74.25
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/target,77.42,54.55,64.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/no_validation,91.80,63.64,75.17
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-pt/component/llm_with_agent,88.37,43.18,58.02
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/source_no_validation,75.00,71.59,73.26
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/source,77.78,63.64,70.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/target_no_validation,77.22,69.32,73.05
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/target,83.05,55.68,66.67
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/no_validation,89.06,64.77,75.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-en-ru/component/llm_with_agent,88.24,51.14,64.75
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/source_no_validation,73.63,76.14,74.86
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/source,82.61,43.18,56.72
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/target_no_validation,76.74,75.00,75.86
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/target,81.67,55.68,66.22
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/no_validation,91.18,70.45,79.49
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-fr/component/llm_with_agent,97.06,37.50,54.10
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/source_no_validation,74.39,69.32,71.76
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/source,77.59,51.14,61.64
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/target_no_validation,72.73,63.64,67.88
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/target,81.36,54.55,65.31
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/no_validation,94.64,60.23,73.61
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-nl/component/llm_with_agent,95.12,44.32,60.47
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/source_no_validation,76.34,80.68,78.45
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/source,78.85,46.59,58.57
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/target_no_validation,80.00,81.82,80.90
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/target,81.54,60.23,69.28
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/no_validation,94.20,73.86,82.80
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-pt/component/llm_with_agent,94.44,38.64,54.84
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/source_no_validation,81.01,72.73,76.65
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/source,91.23,59.09,71.72
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/target_no_validation,71.43,68.18,69.77
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/target,83.02,50.00,62.41
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/no_validation,85.71,61.36,71.52
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-es-ru/component/llm_with_agent,92.11,39.77,55.56
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/source_no_validation,76.83,71.59,74.12
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/source,77.97,52.27,62.59
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/target_no_validation,75.31,69.32,72.19
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/target,74.07,45.45,56.34
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/no_validation,91.94,64.77,76.00
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-nl/component/llm_with_agent,86.49,36.36,51.20
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/source_no_validation,78.57,75.00,76.74
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/source,80.70,52.27,63.45
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/target_no_validation,77.65,75.00,76.30
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/target,84.31,48.86,61.87
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/no_validation,92.31,68.18,78.43
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-pt/component/llm_with_agent,91.67,37.50,53.23
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/source_no_validation,72.73,63.64,67.88
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/source,76.79,48.86,59.72
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/target_no_validation,67.50,61.36,64.29
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/target,80.00,40.91,54.14
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/no_validation,87.50,55.68,68.06
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-fr-ru/component/llm_with_agent,85.71,34.09,48.78
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/source_no_validation,67.11,57.95,62.20
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/source,80.00,45.45,57.97
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/target_no_validation,73.68,63.64,68.29
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/target,85.96,55.68,67.59
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/no_validation,88.46,52.27,65.71
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-pt/component/llm_with_agent,92.31,40.91,56.69
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/source_no_validation,69.86,57.95,63.35
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/source,83.93,53.41,65.28
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/target_no_validation,64.94,56.82,60.61
gpt-4o-mini-2024-07-18,multifarm/cmt-cmt-nl-ru/component/target,90.20,52.27,66.19
