source_or_target,entity,entity_type,initial_matching,lexical_matching,graphical_matching
Source,cmt:ConferenceMember,Class,conference member,"In the context of a research conference, a ConferenceMember refers to an individual who is actively participating in the conference. This term typically includes researchers, scholars, scientists, academics, students, and professionals who attend the conference to present their research findings, share knowledge, engage in discussions, and network with other participants. ConferenceMembers may include keynote speakers, presenters, panelists, session chairs, attendees, and organizers involved in the planning and execution of the conference.","The verbalised sentence is ""ConferenceMember is a class in the CMT ontology."" The verbalised sentence is ""A Conference Member is a subclass of Person."" "
Source,cmt:AssociatedChair,Class,associated chair,"In the context of a research conference, the term ""Associated Chair"" typically refers to a position or role within the conference organizing committee. An Associated Chair is responsible for assisting the Conference Chair or Program Chair in various tasks related to the conference, such as reviewing and selecting research papers, coordinating sessions, managing logistics, and ensuring the smooth execution of the conference. They may also have specific responsibilities related to a particular track or theme of the conference. The Associated Chair is an important role that helps in the overall organization and success of the research conference.","The verbalised sentence is ""The AssociatedChair is a class in the CMT ontology."" The verbalised sentence is ""The AssociatedChair is a subclass of ConferenceMember."" The verbalised sentence is ""The associated chair of CMT is disjoint with the conference chair of CMT."" "
Source,cmt:ProgramCommitteeMember,Class,program committee member,"In the context of a research conference, a ProgramCommitteeMember refers to any member of the conference who is part of the Program Committee. The Program Committee is responsible for organizing and managing the conference, including reviewing and selecting research papers, organizing sessions, and ensuring the overall quality and success of the event. Program Committee Members are typically researchers, academics, or professionals in the field who have expertise and knowledge in the conference's subject area. They play a crucial role in the evaluation and selection of research papers, providing feedback and recommendations to authors, and shaping the conference program.","The verbalised sentence is ""A Program Committee Member is a type of owl Class."" The verbalised sentence is ""ProgramCommitteeMember is a subclass of Person."" The verbalised sentence is ""ProgramCommitteeMember is a subclass of ConferenceMember."" The verbalised sentence is ""A Program Committee Member in the CMT ontology is disjoint with an Author Not Reviewer in the CMT ontology."" "
Source,cmt:AuthorNotReviewer,Class,author not reviewer,"In the context of a research conference, ""AuthorNotReviewer"" typically refers to a participant who has submitted a research paper or abstract for presentation at the conference but is not involved in the reviewing process for other submissions. This term is used to distinguish between authors who have submitted their work for consideration and reviewers who are responsible for evaluating and providing feedback on the submitted papers.","The verbalised sentence is ""An author who is not a reviewer is a class in the CMT ontology."" The verbalised sentence is ""An author in the CMT ontology is not the same as a program committee member in the CMT ontology."" The verbalised sentence is ""An author in the CMT ontology is not a reviewer in the CMT ontology."" The verbalised sentence is ""An AuthorNotReviewer is a subclass of Author."" "
Source,cmt:SubjectArea,Class,subject area,"In the context of a research conference, the term ""SubjectArea"" refers to the specific field or discipline that a research paper or presentation belongs to. It represents the broad topic or subject matter that the research work focuses on. Subject areas can vary widely and include fields such as biology, computer science, psychology, economics, literature, etc. Categorizing research papers into subject areas helps conference organizers and attendees to navigate and find presentations that align with their interests or expertise.","The verbalised sentence is ""The subject area is a class in the CMT ontology."" "
Source,cmt:ExternalReviewer,Class,external reviewer,"In the context of a research conference, an External Reviewer refers to an individual who is not directly associated with the conference or its organizing committee. They are typically an expert in the field of study related to the conference and are invited to review and evaluate the quality and relevance of submitted research papers. The External Reviewer provides an unbiased and independent assessment of the paper's content, methodology, and contribution to the field. Their feedback and recommendations help the conference organizers in making informed decisions regarding the acceptance or rejection of the paper for presentation at the conference.","The verbalised sentence is ""ExternalReviewer is a class in the CMT ontology."" The verbalised sentence is ""An External Reviewer is a subclass of Person in the CMT ontology."" The verbalised sentence is ""An external reviewer is disjoint with a reviewer in the CMT ontology."" "
Source,cmt:Chairman,Class,chairman,"In the context of a research conference, the term ""Chairman"" typically refers to the person who presides over the conference proceedings. The Chairman is responsible for ensuring that the conference runs smoothly, moderating panel discussions, introducing speakers, and maintaining order throughout the event. They may also have the authority to make decisions regarding the conference schedule, program, and any other logistical matters.","The verbalised sentence is ""The Chairman is a class in the CMT ontology."" The verbalised sentence is ""The Chairman is a subclass of Person in the CMT ontology."" "
Source,cmt:ProgramCommitteeChair,Class,program committee chair,"In the context of a research conference, the Program Committee Chair refers to the individual who is responsible for overseeing and managing the program committee. The program committee is a group of experts and researchers who review and select the papers, presentations, and sessions that will be included in the conference program. The Program Committee Chair is typically a senior researcher or academic who leads the committee in evaluating submissions, making decisions on acceptance or rejection, and organizing the conference schedule. They play a crucial role in ensuring the quality and relevance of the conference program.","The verbalised sentence is ""The Program Committee Chair is a class in the CMT ontology."" The verbalised sentence is ""The Program Committee Chair is a subclass of Program Committee Member."" "
Source,cmt:Acceptance,Class,acceptance,"In the context of a research conference, acceptance refers to the decision made by the conference organizers or program committee to include a submitted research paper or presentation in the conference program. When a submission is accepted, it means that the research work has met the criteria and standards set by the conference and is deemed suitable for presentation or publication at the event. Acceptance is typically based on factors such as the quality, relevance, originality, and contribution of the research to the conference theme or topic.","The verbalised sentence is ""The class Acceptance in the CMT ontology is of type owl:Class."" The verbalised sentence is ""Acceptance and Rejection are mutually exclusive concepts in the CMT ontology."" The verbalised sentence is ""The concept of Acceptance is a subclass of the concept of Decision in the CMT ontology."" "
Source,cmt:Rejection,Class,rejection,"In the context of a research conference, rejection refers to the decision made by the conference organizers or program committee to not accept a submitted research paper or proposal for presentation at the conference. This decision is typically based on various factors such as the quality of the research, relevance to the conference theme, originality, methodology, and overall contribution to the field. Rejection means that the research work will not be included in the conference program and will not be presented or published as part of the conference proceedings.","The verbalised sentence is ""The class 'Rejection' in the CMT ontology is of type 'owl:Class'."" The verbalised sentence is ""Rejection is disjoint with Acceptance."" The verbalised sentence is ""The class 'Rejection' is a subclass of the class 'Decision' in the CMT ontology."" "
Source,cmt:Review,Class,review,"In the context of a research conference, the term ""review"" typically refers to the process of evaluating and critiquing research papers or proposals submitted for presentation at the conference. This review process is usually conducted by a panel of experts in the field, known as reviewers or referees, who assess the quality, relevance, and originality of the submissions. The reviewers provide feedback, suggestions, and recommendations to the authors, helping them improve their work and decide whether it should be accepted for presentation at the conference. The review process aims to ensure the scientific rigor and integrity of the research presented at the conference.","The verbalised sentence is ""The class Review in the CMT ontology is of type owl:Class."" The verbalised sentence is ""A review is disjoint with a paper in the CMT ontology."" The verbalised sentence is ""A Review is a subclass of Document in the CMT ontology."" "
Source,cmt:Paper,Class,paper,"In the context of a research conference, a paper refers to a written document that presents the findings, methodology, and analysis of a research study. It is typically submitted by researchers or scholars to share their work with the academic community. The paper is usually structured with sections such as an abstract, introduction, literature review, methodology, results, discussion, and conclusion. It serves as a means for researchers to communicate their research findings, contribute to the existing body of knowledge, and receive feedback from peers.","The verbalised sentence is ""The class Paper in the CMT ontology is an instance of the OWL class."" The verbalised sentence is ""A Paper is a subclass of Document in the CMT ontology."" The verbalised sentence is ""A Paper is disjoint with a Review in the CMT ontology."" "
Source,cmt:Author,Class,author,"In the context of a research conference, an author refers to an individual or a group of individuals who have contributed significantly to the research work being presented. They are responsible for the conception, design, execution, and interpretation of the research study. The authors are typically listed in the order of their contribution, with the first author being the one who has made the most substantial contribution to the research. The authorship signifies the intellectual ownership and responsibility for the content of the research paper or presentation.","The verbalised sentence is ""The class Author in the CMT ontology is of type owl:Class."" The verbalised sentence is ""An Author is a subclass of ConferenceMember in the CMT ontology."" The verbalised sentence is ""An Author is a subclass of User in the CMT ontology."" "
Source,cmt:User,Class,user,"In the context of a research conference, the term ""User"" typically refers to an individual or group of individuals who are the intended recipients or beneficiaries of a particular research study or project. Users can be participants, subjects, or stakeholders who are directly impacted by the research findings or outcomes. They may include end-users of a product or service, patients, consumers, students, or any other relevant population that the research aims to benefit or understand. The term ""User"" is often used to emphasize the focus on human-centered research and the importance of considering the needs, preferences, and experiences of the target audience.","The verbalised sentence is ""User is a class in the CMT ontology."" The verbalised sentence is ""A User is a subclass of Person in the CMT ontology."" "
Source,cmt:Co-author,Class,co author,"In the context of a research conference, a co-author refers to an individual who has contributed significantly to a research project or study and is listed as an author on the resulting publication or presentation. Co-authors typically collaborate on the design, execution, analysis, and interpretation of the research, and their names are included in the authorship list to acknowledge their contributions and expertise. Co-authors may have contributed to different aspects of the research, such as data collection, data analysis, writing, or providing critical feedback.","The verbalised sentence is ""The class 'Co-author' is a type of class in the CMT ontology."" The verbalised sentence is ""Co-author is a subclass of Author in the CMT ontology."" "
Source,cmt:PaperAbstract,Class,paper abstract,"In the context of a research conference, a Paper Abstract refers to a concise summary or description of a research paper. It typically provides an overview of the research problem, objectives, methodology, key findings, and conclusions. The abstract is usually a standalone piece that allows conference attendees to quickly understand the essence of the research without having to read the entire paper. It helps researchers and conference organizers to evaluate the relevance and quality of the research and decide whether it should be accepted for presentation at the conference.","The verbalised sentence is ""The class 'PaperAbstract' is a type of class in the CMT ontology."" The verbalised sentence is ""The class 'PaperAbstract' is a subclass of the class 'Paper' in the CMT ontology."" "
Source,cmt:PaperFullVersion,Class,paper full version,"In the context of a research conference, ""PaperFullVersion"" typically refers to the complete and final version of a research paper that is submitted for presentation or publication. It implies that the paper has undergone the necessary revisions, edits, and reviews, and is ready to be shared with the conference attendees or readers. The term is used to distinguish the full version of the paper from any earlier drafts or incomplete versions that may have been circulated during the research process.","The verbalised sentence is ""The class PaperFullVersion is a type of owl:Class in the cmt ontology."" The verbalised sentence is ""The class 'PaperFullVersion' in the CMT ontology is a subclass of the class 'Paper' in the CMT ontology."" "
Source,cmt:Administrator,Class,administrator,"In the context of a research conference, an administrator typically refers to an individual or a group responsible for managing and organizing the logistical aspects of the conference. They may handle tasks such as venue selection, registration, scheduling, budgeting, coordinating with speakers and attendees, and ensuring the smooth operation of the event. Administrators play a crucial role in ensuring that the conference runs efficiently and successfully.","The verbalised sentence is ""The Administrator is a class in the CMT ontology."" The verbalised sentence is ""An Administrator is a subclass of User in the CMT ontology."" "
Source,cmt:Meta-Review,Class,meta review,"In the context of a research conference, a meta-review refers to a comprehensive evaluation or analysis of multiple research papers or studies on a specific topic. It involves synthesizing and summarizing the findings, methodologies, and conclusions of various individual studies to provide an overview of the current state of knowledge in a particular field. A meta-review aims to identify common themes, patterns, or discrepancies among the studies, and may also involve statistical analysis to quantify the overall effect or impact of the research findings. Meta-reviews are often conducted to inform future research directions, identify research gaps, or provide evidence-based recommendations for policy or practice.","The verbalised sentence is ""The Meta-Review is a class in the CMT ontology."" The verbalised sentence is ""The class 'Meta-Review' is a subclass of the class 'Review' in the CMT ontology."" "
Target,conference:Conference_participant,Class,conference participant,"In the context of a research conference, a conference participant refers to an individual who attends the conference to actively engage in the event. They may include researchers, scholars, scientists, academics, students, industry professionals, and other individuals interested in the conference's theme or topic. Conference participants typically contribute to the conference by presenting their research findings, participating in panel discussions, attending workshops or sessions, networking with other attendees, and exchanging knowledge and ideas with fellow participants.","The verbalised sentence is ""Conference participant is a class."" The verbalised sentence is ""Conference participant is a subclass of Person."" "
Target,conference:Active_conference_participant,Class,active conference participant,"Active_conference_participant refers to an individual who actively engages in the activities and discussions at a research conference. They may present their own research findings, participate in panel discussions, ask questions during presentations, contribute to workshops or breakout sessions, and actively network with other participants. An active conference participant is someone who actively contributes to the overall success and knowledge-sharing atmosphere of the conference.","The verbalised sentence is ""Active conference participant is a class."" The verbalised sentence is ""An active conference participant is a subclass of a conference contributor."" The verbalised sentence is ""An active conference participant is a subclass of a conference participant."" The verbalised sentence is ""Active conference participant is disjoint with Passive conference participant."" "
Target,conference:Passive_conference_participant,Class,passive conference participant,"In the context of a research conference, a Passive_conference_participant refers to an individual who attends the conference but does not actively participate in presenting research papers, giving talks, or engaging in discussions. They may attend sessions, listen to presentations, and network with other participants, but they do not have an active role in contributing to the conference program.","The verbalised sentence is ""Passive conference participant is a class."" The verbalised sentence is ""Passive conference participant is a subclass of conference participant."" The verbalised sentence is ""Passive conference participant is disjoint with active conference participant."" "
Target,conference:Person,Class,person,"In the context of a research conference, the term ""Person"" typically refers to an individual who is attending or participating in the conference. This can include researchers, scientists, academics, students, industry professionals, and other individuals who are involved in the field of study being discussed at the conference.","The verbalised sentence is ""Person is a class."" "
Target,conference:Review_expertise,Class,review expertise,"In the context of a research conference, ""Review_expertise"" refers to the specific area or field of expertise that a reviewer possesses. It indicates the subject or topic in which the reviewer has extensive knowledge and experience, enabling them to provide valuable insights and evaluations of research papers or proposals related to that particular area. Reviewers with diverse review expertise are typically invited to ensure a comprehensive and thorough evaluation of the submissions.","The verbalised sentence is ""Review_expertise is a class."" The verbalised sentence is ""Review expertise is a subclass of owl:Thing."" "
Target,conference:Submitted_contribution,Class,submitted contribution,"In the context of a research conference, ""Submitted_contribution"" typically refers to a research paper, abstract, or any other form of scholarly work that has been submitted by an author or researcher for consideration and potential presentation at the conference. It represents the work that has been submitted by the author to be reviewed and evaluated by the conference organizers or program committee.","The verbalised sentence is ""Submitted_contribution is a class."" The verbalised sentence is ""A submitted contribution is a subclass of a written contribution."" "
Target,conference:Reviewer,Class,reviewer,"In the context of a research conference, a reviewer refers to an individual who evaluates and assesses the quality, relevance, and validity of research papers or proposals submitted for presentation at the conference. Reviewers are typically experts in the field and are responsible for providing constructive feedback, suggestions, and recommendations to the authors. Their role is crucial in ensuring the selection of high-quality research work for presentation and publication.","The verbalised sentence is ""The Reviewer is a class."" The verbalised sentence is ""Reviewer is a subclass of Person."" "
Target,conference:Regular_author,Class,regular author,"In the context of a research conference, a ""Regular_author"" typically refers to an individual who has submitted a research paper or abstract to be presented at the conference. Regular authors are usually researchers, scholars, or professionals who have conducted original research and are sharing their findings with the conference attendees. They are distinguished from other participants, such as keynote speakers or invited guests, who may not have submitted a research paper for presentation.","The verbalised sentence is ""Regular author is a class."" The verbalised sentence is ""A regular author is a subclass of a conference contributor."" "
Target,conference:Conference_contributor,Class,conference contributor,"In the context of a research conference, a Conference_contributor refers to an individual who has made a significant contribution to the conference. This can include researchers, scholars, scientists, industry professionals, or any other individual who has contributed to the conference through their work, presentations, papers, or participation in panel discussions or workshops. Conference_contributors are typically recognized and acknowledged for their contributions to the conference program and overall success of the event.","The verbalised sentence is ""The class Conference_contributor is a type of owl:Class."" The verbalised sentence is ""Conference contributor is a subclass of Person."" "
Target,conference:Contribution_1th-author,Class,contribution 1th author,"In the context of a research conference, ""Contribution_1th-author"" refers to the level of contribution made by the first author of a research paper or presentation. The term ""1th-author"" is likely a typographical error, as the correct term should be ""1st-author"" indicating the primary or lead author of the work. The first author is typically the individual who has made the most significant contribution to the research project and is often responsible for the majority of the work, including data collection, analysis, and manuscript preparation.","The verbalised sentence is ""The first author of Contribution_1 belongs to the owl class."" The verbalised sentence is ""The 1st author of Contribution is a subclass of Regular author."" The verbalised sentence is ""The first author of a contribution is disjoint with the co-author of the same contribution."" "
Target,conference:Contribution_co-author,Class,contribution co author,"In the context of a research conference, ""Contribution_co-author"" refers to a co-author who has made a significant contribution to the research project or paper being presented at the conference. This term is used to acknowledge the involvement and contribution of each co-author in the research work. It indicates that the co-author has played a role in the design, data collection, analysis, interpretation, or writing of the research project.","The verbalised sentence is ""The Contribution co-author is a class."" The verbalised sentence is ""Contribution co-author is a subclass of Regular author."" The verbalised sentence is ""A contribution co-author is disjoint with a contribution 1st author."" "
Target,conference:Conference_contribution,Class,conference contribution,"In the context of a research conference, a conference contribution refers to a presentation, paper, poster, or any other form of research output that is submitted and presented at the conference. It is a contribution made by researchers or scholars to the conference program, sharing their findings, insights, or ideas with the audience. Conference contributions are typically reviewed and selected based on their quality, relevance, and contribution to the field of study.","The verbalised sentence is ""Conference contribution is a class."" The verbalised sentence is ""A Conference contribution is a subclass of Conference document."" "
Target,conference:Co-chair,Class,co chair,"In the context of a research conference, a co-chair refers to an individual who shares the responsibility of leading and organizing the conference alongside another person. The co-chairs work together to oversee various aspects of the conference, such as selecting the theme, inviting speakers, reviewing abstracts, coordinating logistics, and ensuring the smooth execution of the event. They often collaborate closely to make important decisions and divide tasks to ensure the conference's success.","The verbalised sentence is ""Co-chair is a class."" The verbalised sentence is ""Co-chair is a subclass of Committee member."" "
Target,conference:Committee,Class,committee,"In the context of a research conference, a committee refers to a group of individuals who are responsible for organizing and overseeing various aspects of the conference. The committee members are typically experts in the field of research and are tasked with reviewing and selecting research papers, organizing sessions and panels, inviting keynote speakers, managing logistics, and ensuring the smooth running of the conference. They play a crucial role in shaping the conference program and ensuring its success.","The verbalised sentence is ""The Committee is a class."" "
Target,conference:Committee_member,Class,committee member,"In the context of a research conference, a Committee_member refers to an individual who is part of the committee responsible for organizing and overseeing the conference. Committee members are typically experts or professionals in the field of research related to the conference theme. They play a crucial role in reviewing and selecting research papers, organizing sessions, inviting keynote speakers, managing logistics, and ensuring the overall success of the conference.","The verbalised sentence is ""Committee member is a class."" The verbalised sentence is ""Committee member is a subclass of Person."" "
Target,conference:Abstract,Class,abstract,"In the context of a research conference, an abstract refers to a concise summary of a research paper or presentation. It typically includes the purpose, methodology, results, and conclusions of the study. The abstract is usually written in a structured format and serves as a brief overview of the research to help conference attendees decide which presentations they would like to attend.","The verbalised sentence is ""Abstract is a class."" The verbalised sentence is ""Abstract is a subclass of Extended_abstract."" "
Target,conference:Extended_abstract,Class,extended abstract,"In the context of a research conference, an extended abstract refers to a more detailed version of an abstract. It typically provides a concise summary of the research paper or project, including the objectives, methodology, results, and conclusions. Unlike a regular abstract, which is usually limited to a few hundred words, an extended abstract can range from one to several pages, allowing for a more comprehensive overview of the research. It may also include additional information such as references, figures, and tables to support the findings. Extended abstracts are often submitted to conferences for review and presentation purposes.","The verbalised sentence is ""Extended abstract is a class."" The verbalised sentence is ""The extended abstract is disjoint with the paper."" The verbalised sentence is ""Extended abstract is a subclass of Regular contribution."" "
Target,conference:Important_dates,Class,important dates,"In the context of a research conference, ""Important_dates"" refers to the significant dates or deadlines that participants, presenters, and organizers need to be aware of. These dates typically include the submission deadline for research papers or abstracts, notification of acceptance or rejection, early bird registration deadline, final paper submission deadline, and the conference dates themselves. Important_dates serve as milestones for participants to plan and organize their research work, travel arrangements, and conference attendance.","The verbalised sentence is ""Important_dates is a class."" "
Target,conference:Invited_speaker,Class,invited speaker,"In the context of a research conference, an invited speaker refers to a distinguished individual who is invited to give a presentation or deliver a talk at the conference. These speakers are typically experts in their field and are invited by the conference organizers to share their knowledge, insights, and research findings with the conference attendees. Invited speakers are often chosen based on their expertise, reputation, and contributions to the field, and their presentations are usually considered to be highlights of the conference program.","The verbalised sentence is ""Invited speaker is a class."" The verbalised sentence is ""Invited speaker is a subclass of Conference contributor."" "
Target,conference:Conference_proceedings,Class,conference proceedings,"Conference proceedings refer to a collection of papers or abstracts presented at a research conference. These proceedings typically include summaries or full-length versions of the research papers, presentations, and posters that were presented during the conference. They serve as a record of the research presented at the conference and are often published in a book or online format. Conference proceedings allow researchers to share their work with a wider audience and provide a reference for future research and citation.","The verbalised sentence is ""Conference proceedings is a class."" "
Target,conference:Information_for_participants,Class,information for participants,"In the context of a research conference, ""Information_for_participants"" refers to the collection of relevant details, guidelines, and instructions provided to individuals who are attending or participating in the conference. This information typically includes the conference schedule, session topics, presentation guidelines, registration process, accommodation options, travel information, and any other pertinent details that participants need to know in order to effectively engage with the conference.","The verbalised sentence is ""Information for participants is a class."" The verbalised sentence is ""Information for participants is a subclass of Conference document."" "
Target,conference:Conference_document,Class,conference document,"In the context of a research conference, a Conference_document refers to any written or digital material that is produced and distributed during the conference. This can include conference proceedings, abstracts, papers, posters, presentations, handouts, and any other documents that are relevant to the conference theme or topics being discussed. These documents serve as a record of the research presented at the conference and are often made available to attendees for reference and further study.","The verbalised sentence is ""Conference document is a class."" "
